,Unnamed: 0,2019,2018,2017,2016
0,P/L,31.275,140.6075,131.3225,28.1725
1,P/VPA,1.1225,1.2475,1.53,0.3575
2,P/FCO,7.390000000000001,10.8,18.327499999999997,5.485
3,DY,0.002575,0.0,0.0,0.0
4,PSRO ín,1.63,1.8525,2.1149999999999998,0.775
5,EV/EBIT,12.7325,25.5325,24.5825,7.375
6,ROE,0.026750000000000003,0.0131,0.01625,-0.0062000000000000015
7,ROIC,0.05072499999999999,0.05512500000000001,0.057975000000000006,0.07922499999999999
8,LC,0.75,1.0425,0.9275,0.99
9,DB/PL,0.3525,0.4825,0.415,0.5275
10,LPA,0.2975,0.14500000000000002,0.1725,-0.037500000000000006
11,VPA,8.317499999999999,10.852500000000001,10.63,8.385
12,DPA,0.0,0.0,0.0,0.0
