,Unnamed: 0,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-118.10249999999999,-105.245,14.5575,161.64749999999998,-41.0775,57.315,41.269999999999996,407.5,11.6575
1,P/VPA,0.35,0.315,0.305,1.1225,0.845,1.0175,0.7525,0.6275,0.285
2,P/FCO,-281.40000000000003,-0.9925000000000015,5.975,-90.4025,16.744999999999997,-20.095,13.18,6.945,3.845
3,DY,0.0133,0.021925,0.02205,0.014325000000000001,0.01195,0.00865,0.010575000000000001,0.01235,0.015550000000000001
4,PSRO ín,-338.685,-73.25,9.445,21.947499999999998,-148.0025,-93.01750000000001,26.450000000000003,5.609999999999999,1.8725
5,EV/EBIT,-81.86749999999999,-80.74000000000001,36.8025,82.9975,-83.4675,53.322500000000005,72.36,64.85249999999999,7.5025
6,ROE,-0.00155,-0.001575,0.0106,0.0062,-0.015924999999999998,0.01195,0.009125000000000001,0.000825,0.006125
7,ROIC,0.0013,-4.999999999999997e-05,0.00185,0.002375,-0.0006749999999999999,0.008674999999999999,0.0014,0.003725,0.006325
8,LC,1.1275,1.4125,1.0025,0.6775,0.75,0.69,0.6425000000000001,0.835,0.38
9,DB/PL,0.9325,0.6625000000000001,0.6225,0.5700000000000001,0.6799999999999999,0.495,0.3375,0.4475,0.1175
10,LPA,-0.0475,-0.045,0.30500000000000005,0.155,-0.35250000000000004,0.235,0.16749999999999998,0.015,0.1075
11,VPA,15.3225,14.317499999999999,14.440000000000001,12.4875,11.3875,9.739999999999998,9.075,8.870000000000001,4.3875
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
