,Unnamed: 0,2019,2018,2017,2016,2015,2014,2013
0,P/L,14.754999999999999,34.8975,30.134999999999998,16.2525,12.377500000000001,15.755,4.6075
1,P/VPA,3.82,6.710000000000001,8.8825,4.245,3.7224999999999997,4.985,1.6275
2,P/FCO,24.745,-133.39499999999998,91.32249999999999,13.31,22.825000000000003,14.955000000000002,-5.3275
3,DY,0.0059,0.007200000000000001,0.01635,0.0387,0.042175000000000004,0.00755,0.0
4,PSRO ín,2.5625,6.8025,5.585,2.9625,2.6925,2.9025,0.8025
5,EV/EBIT,8.567499999999999,19.402500000000003,13.524999999999999,7.32,6.2775,6.5075,1.6475
6,ROE,0.195075,0.19597499999999998,0.2894,0.26085,0.2972,0.316825,0.27885
7,ROIC,0.148225,0.14635,0.28615,0.33872500000000005,0.3219,0.5629500000000001,0.8135249999999999
8,LC,1.0575,1.2475,1.2,1.1575,1.1925,1.0625,1.105
9,DB/PL,0.8775000000000002,1.2325,0.905,0.40499999999999997,0.5125000000000001,0.0,0.0
10,LPA,1.8900000000000001,1.4774999999999998,1.4625000000000001,1.3425,1.22,0.9525,0.5825
11,VPA,7.3175,7.48,5.1575,5.1575,4.1525,3.015,2.0525
12,DPA,0.36,0.42000000000000004,0.34750000000000003,0.21000000000000002,0.4875,0.2175,0.1625
