,Unnamed: 0,2020,2019,2018,2017,2016,2015
0,P/L,1.6375,15.917499999999999,12.3025,5.6225,1.455,0.05499999999999999
1,P/VPA,0.51,1.8449999999999998,1.0425,0.8849999999999999,0.21000000000000002,0.04
2,P/FCO,1.5375,4.355,8.9825,12.392500000000002,2.0775,-0.8175
3,DY,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,0.85,2.4050000000000002,1.485,1.7975,0.6174999999999999,0.32999999999999996
5,EV/EBIT,1.8325,8.5525,6.4125,2.5975,-3.2725,-1.1124999999999998
6,ROE,0.0779,0.19065000000000001,0.117675,0.30150000000000005,0.16242499999999999,-1.241425
7,ROIC,0.044074999999999996,0.12805,0.08957500000000002,0.22852499999999998,0.1366,-1.089425
8,LC,0.18,0.8275,3.665,3.9325,10.147499999999999,6.3475
9,DB/PL,0.3325,1.1400000000000001,0.17,0.17500000000000002,0.04,0.11750000000000001
10,LPA,1.2825,4.515,8.63,21.325,10.219999999999999,-59.245000000000005
11,VPA,4.115,27.0875,71.8,69.91,62.3775,53.575
12,DPA,0.0,0.0,0.0,1.705,-1.705,0.0
