,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-10.5625,23.32,-48.0725,-0.035,-0.0075,0.01,0.05,0.0075,0.025,-0.0075
1,P/VPA,0.195,0.3775,0.3,0.4275,0.13,0.0,0.0,0.0,0.0,0.0
2,P/FCO,-1.775,2.0999999999999996,-6.1625,5.8774999999999995,-0.0025,0.0025,-0.0025,0.0024999999999999996,0.075,0.0025
3,DY,0.011049999999999999,0.029275,0.043225,0.043024999999999994,0.070025,0.07905000000000001,0.07944999999999999,0.0223,0.0,0.31455000000000005
4,PSRO ín,-69.99,3.7800000000000002,-2.4799999999999995,0.0,2.1725,1.7525,1.7625,2.04,0.49749999999999994,0.3375
5,EV/EBIT,-20.735,-98.635,26.425000000000004,-0.01,-8.3325,7.6125,18.630000000000003,5.6475,-0.8575000000000017,-9.595
6,ROE,-0.0048,0.008375,-0.004725,-6.12645,-15.251874999999998,0.018324999999999998,0.004375,0.02115,-0.002325,-0.0043
7,ROIC,-0.0011250000000000001,0.0053750000000000004,-0.0033500000000000005,-14.7909,-8.923399999999999,0.013725,0.003975,0.011899999999999999,0.00014999999999999996,-0.001875
8,LC,0.3,0.6375,0.7,0.6525000000000001,0.6875,0.67,0.69,0.5775,0.8300000000000001,0.4625
9,DB/PL,0.155,0.23249999999999998,0.245,0.28500000000000003,0.445,0.4825,0.46499999999999997,0.4825,0.47250000000000003,0.2275
10,LPA,-0.03,0.045,-0.022500000000000003,-24.325,-130.14249999999998,90.555,19.65,81.165,-13.4275,-11.1525
11,VPA,1.6175,2.6625,2.38,1.9899999999999998,918.0474999999999,1809.9175,1379.0900000000001,1302.2375,1275.775,647.365
12,DPA,0.0,0.0,0.0,-3.385,-0.24,-1.31,0.775,1.02,5.025000000000001,1.5
