,Unnamed: 0,2017,2016,2015,2014,2013
0,P/L,2.5500000000000003,1.6625,-1.9975,10.365,-1.145
1,P/VPA,0.15500000000000003,0.3425,0.32499999999999996,0.22999999999999998,0.10250000000000001
2,P/FCO,19.1025,-5.8325,-4.4624999999999995,-3.6325,-1.405
3,DY,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,1.3675,-1.4775000000000003,-27.497500000000002,0.8200000000000002,-1.6524999999999999
5,EV/EBIT,-123.19,-1.68,0.6525000000000001,2.0050000000000003,0.18
6,ROE,-0.006674999999999998,-0.018874999999999996,-0.046275,0.0006249999999999993,-0.070225
7,ROIC,0.02825,0.057824999999999994,-0.1265,0.00595,-0.177475
8,LC,7.81,12.8475,8.9375,7.295,13.145
9,DB/PL,0.0,0.0625,0.10250000000000001,0.13,0.13
10,LPA,-0.14750000000000002,-0.4025000000000001,-0.885,0.022500000000000027,-1.5575
11,VPA,10.105,20.9075,20.9125,20.764999999999997,22.745
12,DPA,0.0,0.0,0.0,0.0,0.0
