,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013
0,P/L,-35.9375,80.125,56.89750000000001,34.285000000000004,80.545,114.035,123.06,160.1175
1,P/VPA,0.545,2.9050000000000002,3.8375000000000004,2.7775000000000003,5.1675,11.6375,13.329999999999998,11.0375
2,P/FCO,-31.55,33.675,42.1075,35.269999999999996,58.625,74.0175,74.5425,69.19999999999999
3,DY,0.0020250000000000003,0.002425,0.011825,0.012750000000000001,0.0236,0.015050000000000001,0.01365,0.0034999999999999996
4,PSRO ín,31.85,6.2375,6.68,5.297499999999999,11.535,18.4025,24.265,23.51
5,EV/EBIT,-34.705,45.315,44.2575,33.8425,70.41499999999999,107.24249999999999,126.23,127.435
6,ROE,-0.00375,0.0282,0.068525,0.08132500000000001,0.061900000000000004,0.1018,0.108625,0.07585
7,ROIC,-0.0023,0.027625000000000004,0.051425,0.040275,0.042749999999999996,0.069775,0.06924999999999999,0.055174999999999995
8,LC,0.68,3.25,3.1674999999999995,5.0875,5.18,3.765,4.175,6.0625
9,DB/PL,0.045,0.16749999999999998,0.14,0.09500000000000001,0.145,0.16999999999999998,0.08,0.0825
10,LPA,-0.04,0.2475,0.46499999999999997,0.5725,0.32999999999999996,0.40249999999999997,0.40249999999999997,0.265
11,VPA,2.635,7.21,6.7775,7.0525,5.565,3.945,3.7150000000000003,3.455
12,DPA,0.015,0.18,0.1575,0.17250000000000001,0.2,0.1825,0.18,0.09
