,Unnamed: 0,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-24.545,-9.405,-11.5275,-3.815,-14.63,63.11749999999999,19.947499999999998,30.7625,25.06
1,P/VPA,23.142500000000002,10.9625,6.0425,3.0949999999999998,1.0474999999999999,1.6525,3.6525,7.0275,8.45
2,P/FCO,-16.237500000000004,-48.0525,-190.9175,-43.0725,-52.44749999999999,8.93,29.79,49.5,25.555000000000003
3,DY,0.0,0.0,0.0,0.000825,0.020900000000000002,0.037875,0.018575,0.0165,0.016649999999999998
4,PSRO ín,4.99,4.66,5.075,2.585,1.7149999999999999,2.9175000000000004,5.359999999999999,9.59,7.7125
5,EV/EBIT,-20.115000000000002,-14.2275,-8.7675,-3.4925,-4.05,-1442.0400000000002,25.677500000000002,51.7425,22.189999999999998
6,ROE,-1.12425,-1.05555,-0.5446,-2.0743499999999995,-0.6733,0.122475,0.18864999999999998,0.23195,0.33802499999999996
7,ROIC,-1.0798750000000001,-0.92205,-0.7172499999999999,-2.006025,-0.780125,0.002975000000000002,0.09567500000000001,0.087,0.27477500000000005
8,LC,0.5875,1.2925,1.975,1.915,2.0,2.075,1.8225000000000002,1.84,1.62
9,DB/PL,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,LPA,-0.215,-0.46749999999999997,-0.48000000000000004,-2.4175,-1.0350000000000001,0.755,1.1325,1.1900000000000002,1.3675000000000002
11,VPA,0.19,0.57,0.96,1.1975,4.4,6.0675,5.9725,5.1625,4.06
12,DPA,0.015,0.0025,0.0,0.0,-0.10750000000000001,0.29250000000000004,0.28500000000000003,0.3725,0.2775
