,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013
0,P/L,5.18,12.7775,11.7125,16.145,9.395,6.42,18.037499999999998,6.3175
1,P/VPA,0.3825,1.7025000000000001,1.4100000000000001,2.9675000000000002,2.0075000000000003,1.8250000000000002,5.4625,1.6325
2,P/FCO,3.0625,7.859999999999999,5.905,10.36,15.3575,11.61,20.877499999999998,5.6175
3,DY,0.037599999999999995,0.006749999999999999,0.0176,0.010750000000000001,0.014525,0.017674999999999996,0.0046,0.0
4,PSRO ín,0.4075,1.9600000000000002,1.9075,3.125,1.9749999999999999,1.6949999999999998,5.3625,1.7674999999999998
5,EV/EBIT,2.2,8.120000000000001,7.1525,11.625,7.33,5.68,15.637500000000001,5.327500000000001
6,ROE,0.0183,0.100175,0.11977499999999999,0.18805,0.21215,0.28035,0.30395,0.7766500000000001
7,ROIC,0.0385,0.11197499999999999,0.11512499999999999,0.19225,0.19412500000000002,0.24517500000000003,0.26125,0.509925
8,LC,0.43,1.685,3.6075,2.685,1.99,1.9825,3.2975,2.0
9,DB/PL,0.0275,0.14500000000000002,0.20500000000000002,0.2625,0.40249999999999997,0.335,0.18750000000000003,0.6000000000000001
10,LPA,0.195,1.11,1.465,1.745,1.55,1.6624999999999999,1.4000000000000001,1.0225
11,VPA,2.645,8.325,12.2375,9.54,7.2875,5.955000000000001,4.5675,1.8525
12,DPA,0.0,0.0,0.0,0.0,0.0,-0.1,0.21000000000000002,0.2475
