,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,70.625,-5.1675,-7.45,-5.882499999999999,-26.5775,16.035,-3.94,-6.1175,-4.6225000000000005,4.407500000000001
1,P/VPA,0.6025,3.3425000000000002,5.8475,5.5875,0.3175,0.275,0.3675,0.505,0.5575,0.71
2,P/FCO,13.8775,27.8875,-6.957500000000003,34.68,5.0675,19.67,8.3925,3.395,148.1275,-2.0275
3,DY,0.0,0.0,0.0,0.00042500000000000003,0.01715,0.009625,0.097025,0.0219,0.013325,0.0344
4,PSRO ín,1.64,3.615,6.2675,-25.279999999999998,1.0825,0.9575000000000001,1.3399999999999999,1.23,1.2400000000000002,0.9699999999999999
5,EV/EBIT,20.3125,-7.0175,-9.767500000000002,-12.010000000000002,-8.529999999999998,31.7175,-23.457500000000003,231.56,0.7950000000000008,4.0625
6,ROE,0.0020250000000000003,-0.5133,-0.803125,-0.985275,-0.17195,0.0196,0.208075,0.02099999999999999,-0.2898,0.0037500000000000033
7,ROIC,0.010225,-0.1781,-0.311225,-0.3205,-0.04777499999999999,0.013725000000000001,0.04309999999999999,0.022400000000000003,-0.084425,0.03865
8,LC,0.425,1.0225,1.8925,1.3775,1.9525000000000001,2.0574999999999997,2.265,2.22,2.41,2.6925
9,DB/PL,0.2,1.0150000000000001,1.2525000000000002,1.1075,0.74,0.7825000000000001,0.885,1.3075,1.4175,1.0075
10,LPA,0.005,-0.7675000000000001,-1.7000000000000002,-3.1075,-0.935,0.16249999999999998,1.7249999999999999,0.26749999999999996,-2.105,0.2925
11,VPA,0.585,1.1949999999999998,2.1225,3.255,7.215,8.185,8.2375,7.105,7.232500000000001,9.469999999999999
12,DPA,0.0,0.0,0.0,0.0,0.05,0.0125,0.43,0.1075,0.0,0.27
