,Unnamed: 0,2020,2019,2018,2017,2016
0,P/L,3.0625,12.54,10.7725,12.935,7.4525
1,P/VPA,1.025,4.085,3.4575,3.3899999999999997,1.8199999999999998
2,P/FCO,1.93,8.7175,37.75749999999999,25.14,4.795
3,DY,0.0102,0.059774999999999995,0.095475,0.068625,0.025474999999999998
4,PSRO ín,1.0175,4.32,3.7824999999999998,3.9774999999999996,2.2675
5,EV/EBIT,2.31,10.2025,8.932500000000001,9.8125,5.2275
6,ROE,0.0836,0.32625,0.31994999999999996,0.262775,0.235825
7,ROIC,0.038475,0.16410000000000002,0.17715,0.186275,0.19285000000000002
8,LC,0.3125,1.1800000000000002,1.1425,1.52,1.7175
9,DB/PL,0.6275,1.815,1.2425,0.5974999999999999,0.5475000000000001
10,LPA,0.865,3.5774999999999997,3.3550000000000004,2.775,2.4299999999999997
11,VPA,2.585,10.9725,10.55,10.572500000000002,10.3075
12,DPA,0.8425,2.2649999999999997,2.995,2.5875,1.6574999999999998
