,Unnamed: 0,2020,2019,2018,2017,2016,2015
0,P/L,-3.4825,74.41,171.89499999999998,92.12,-8.5975,-52.43
1,P/VPA,0.1325,1.13,1.1375000000000002,1.2875,0.7175,1.0474999999999999
2,P/FCO,-3.7225,9.86,17.59,17.3675,45.6425,12.934999999999999
3,DY,0.0008749999999999999,0.062424999999999994,0.018799999999999997,0.01565,0.0,0.0
4,PSRO ín,0.5175,1.0975000000000001,0.8325,0.9275000000000001,0.6224999999999999,1.1825
5,EV/EBIT,-6.4725,37.15,40.567499999999995,-34.26499999999999,-10.3225,-2291.2375
6,ROE,-0.009375,0.011550000000000001,0.004425,-0.04094999999999999,-0.08695,-0.0415
7,ROIC,-0.004075,0.02305,0.013025,-0.0335,-0.051925,0.00010000000000000026
8,LC,0.1475,1.19,1.4875,1.4849999999999999,1.5949999999999998,0.9550000000000001
9,DB/PL,0.1125,0.3425,0.1925,0.12000000000000002,0.17250000000000001,0.5125
10,LPA,-0.07,0.065,0.027499999999999997,-0.25,-0.5800000000000001,-0.27
11,VPA,1.8475,4.175000000000001,6.16,6.102500000000001,6.609999999999999,6.135
12,DPA,0.0,0.0,0.0,0.0,0.0,0.06
